1.5440 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
104.3037 	EXP 	New trial (rep=54, index=0): None
104.3065 	DATA 	Keypress: up
104.3166 	EXP 	fixation: autoDraw = False
104.3166 	EXP 	grating: autoDraw = False
104.3166 	EXP 	grating: ori = 1.0
104.3166 	EXP 	fixation: autoDraw = True
105.3169 	EXP 	fixation: autoDraw = False
105.3169 	EXP 	grating: autoDraw = True
105.6165 	EXP 	grating: autoDraw = False
106.1041 	EXP 	New trial (rep=55, index=0): None
106.1069 	DATA 	Keypress: down
106.1166 	EXP 	fixation: autoDraw = False
106.1166 	EXP 	grating: autoDraw = False
106.1166 	EXP 	grating: ori = 0.0
106.1166 	EXP 	fixation: autoDraw = True
107.1164 	EXP 	fixation: autoDraw = False
107.1164 	EXP 	grating: autoDraw = True
107.4163 	EXP 	grating: autoDraw = False
107.6709 	EXP 	New trial (rep=56, index=0): None
107.6739 	DATA 	Keypress: up
107.6828 	EXP 	fixation: autoDraw = False
107.6828 	EXP 	grating: autoDraw = False
107.6828 	EXP 	grating: ori = -4.0
107.6828 	EXP 	fixation: autoDraw = True
108.6830 	EXP 	fixation: autoDraw = False
108.6830 	EXP 	grating: autoDraw = True
108.9830 	EXP 	grating: autoDraw = False
109.1196 	EXP 	New trial (rep=57, index=0): None
109.1224 	DATA 	Keypress: down
109.1342 	EXP 	fixation: autoDraw = False
109.1342 	EXP 	grating: autoDraw = False
109.1342 	EXP 	grating: ori = -5.0
109.1342 	EXP 	fixation: autoDraw = True
110.1330 	EXP 	fixation: autoDraw = False
110.1330 	EXP 	grating: autoDraw = True
110.4335 	EXP 	grating: autoDraw = False
110.7708 	EXP 	New trial (rep=58, index=0): None
110.7736 	DATA 	Keypress: down
110.7829 	EXP 	fixation: autoDraw = False
110.7829 	EXP 	grating: autoDraw = False
110.7829 	EXP 	grating: ori = 0.0
110.7829 	EXP 	fixation: autoDraw = True
111.7833 	EXP 	fixation: autoDraw = False
111.7833 	EXP 	grating: autoDraw = True
112.0839 	EXP 	grating: autoDraw = False
112.5688 	EXP 	New trial (rep=59, index=0): None
112.5709 	DATA 	Keypress: up
112.5839 	EXP 	fixation: autoDraw = False
112.5839 	EXP 	grating: autoDraw = False
112.5839 	EXP 	grating: ori = 2.0
112.5839 	EXP 	fixation: autoDraw = True
